measuredateyear,measuredatemonth,flowAmount,NDVIAmount,precipAmount,storageAmount,ET
2005,1,2925747231.6211200,0.193895,32158597587,2429290193,26803560162.3788800
2005,2,1737398512.9267200,0.272376,17793177894,1560583120,14495196261.0732800
2005,3,2634128139.2947200,0.324298,29376100343,-658604820,27400577023.7052800
2005,4,1917206840.2176000,0.34961,11444205529,-2880583266,12407581954.7824000
2005,5,3867271135.9488000,0.41565,23956949674,-6162730561,26252409099.0512000
2005,6,1905977076.9408000,0.425147,6175623474,-6782721156,11052367553.0592000
2005,7,1106408145.3465600,0.419401,3438232,-4541697874,3438727960.6534400
2005,8,1059840103.0348800,0.411469,216377529,-2095040552,1251577977.9651200
2005,9,1110205224.3456000,0.408379,1389185342,-676652253,955632370.6544000
2012,3,1969661333.6064000,0.316806,37803069613,5876195891,29957212388.3936000
2012,4,2212997336.9856000,0.35278,18599631177,-6721355398,23107989238.0144000
2012,5,862570594.8057600,0.397139,2139406948,-7134254622,8411090975.1942400
2012,6,589085490.5856000,0.396458,2995772520,-5439220767,7845907796.4144000
2012,7,715509627.3100800,0.391622,412756105,-3665834155,3363080632.6899200
2012,8,567083472.9062400,0.383457,235417056,-1891533152,1559866735.0937600
2012,9,619838894.5920000,0.387593,177991665,-404355069,-37492160.5920000
2012,10,686764858.5216000,0.397004,6811338272,2448559031,3676014382.4784000
2012,11,931996954.8288000,0.384883,29040203809,11997099500,16111107354.1712000
2012,12,4131738177.5462400,0.292372,44887870267,3500401427,37255730662.4537600
2013,1,2108151961.0675200,0.236048,4341371102,-1712815199,3946034339.9324800
2013,2,1050440375.2550400,0.291825,2865752518,-1925436521,3740748663.7449600
2013,3,723928279.9104000,0.328226,10355909414,-2177446752,11809427886.0896000
2013,4,872838855.4752000,0.377107,5192693371,-4751701012,9071555527.5248000
2013,5,778535756.2368000,0.408852,4814804270,-3115132397,7151400910.7632000
2013,6,612645974.3232000,0.396031,4100353117,-2809354934,6297062076.6768000
2013,7,512248465.4284800,0.389434,299309141,-1813378974,1600439649.5715200
2013,8,565945817.1494400,0.372651,311651584,-565301479,311007245.8505600
2013,9,547175720.4480000,0.385326,4845726508,46264883,4252285904.5520000
2013,10,450587523.4099200,0.385452,1780212402,432890841,896734037.5900800
2013,11,498073030.0416000,0.39029,5172359132,1145105825,3529180276.9584000
2013,12,640424347.3612800,0.326358,2692345936,-375161657,2427083245.6387200
2014,1,556010290.2067200,0.377552,3700397237,3984603234,-840216287.2067200
2014,2,838009463.3164800,0.335721,29242002627,5234571653,23169421510.6835200
2014,3,1002729784.0435200,0.3616,23400309791,-1060096033,23457676039.9564800
2014,4,634665118.0032000,0.376373,7247576476,-3486720020,10099631377.9968000
2014,5,385134395.5353600,0.391109,1749879888,-3393572644,4758318136.4646400
2014,6,483907380.9408000,0.389244,262956373,-2189389875,1968438867.0592000
2014,7,399544701.7881600,0.374859,834847263,-682018555,1117321116.2118400
2014,8,440955371.3356800,0.370223,1432102185,-402869658,1394016471.6643200
2014,9,406473392.3328000,0.377696,3526861266,1193746094,1926641779.6672000
2014,10,292225842.0633600,0.384652,NULL,1767037387,NULL
2014,11,386802957.3120000,NULL,NULL,10761194413,NULL
2014,12,3131738767.3190400,NULL,NULL,1736306172,NULL
