year,month,<0,0-0.2,0.2-0.4,0.4-0.6,0.6<
2002,1,2295691664.35,71958393157.2,27435273270.9,15646043214.4,25624047020.9
2002,2,1035356566.89,70578061889.3,31961335247.0,15518586278.0,23866108346.5
2002,3,1453229328.49,73801708960.2,30920859985.4,13105402200.2,23678247853.4
2002,4,0,33783451368.2,50235789632.6,28387985558.4,30552221768.4
2002,5,119248166.104,26127033601.6,48979260016.9,36904473411.3,30829433131.8
2002,6,0,25803298994.9,47052382564.1,36813598601.6,33290168167.1
2002,7,0,30481840521.8,44456568072.4,32799661351.5,35221378381.9
2002,8,0,35293010952.5,46029862845.1,31505752064.1,30130822466.0
2002,9,0,35424955791.2,46754091778.8,30625389661.6,30155011096.0
2002,10,0,36648281051.5,46600288048.9,29824598272.5,29886280954.8
2002,11,0,38491512790.4,42406426011.2,31074143794.0,30987365732.1
2002,12,0,64030131841.1,30169031009.5,33909307282.9,14850978194.3
2003,1,1220879348.19,59818670427.9,37658413346.2,19588322998.9,24673162206.6
2003,2,119622085.132,48708059613.5,46032205036.4,19015075701.7,29084485891.0
2003,3,0,44871748617.6,46809214779.6,20789956171.2,30488528759.2
2003,4,0.0,38440202348.9,55187287213.6,26312230622.5,23019728142.8
2003,5,119248166.104,26095093425.9,50918259151.3,36692294015.2,29134553569.2
2003,6,0.0,26111755112.7,46369014516.6,37889102328.7,32589576369.7
2003,7,0,30623668025.9,44007448669.5,34717541292.0,33610790340.3
2003,8,0,31109706803.9,44905825812.3,32479894535.4,34464021176.1
2003,9,0,34783230467.7,45561435936.6,29939175688.1,32675606235.3
2003,10,0,35929775701.9,45793463821.9,28895920000.2,32340288803.7
2003,11,0,46202383815.4,46118083009.4,24963942796.4,25675038706.5
2003,12,428822402.404,82689645889.3,30040144071.9,19768516532.8,10032319431.1
2004,1,3977957764.1,77107078737.1,30239765441.7,19588563339.8,12046083045.0
2004,2,987766514.698,82631719800.8,26072258252.7,14509230185.9,18758473573.6
2004,3,1221740135.18,47693087788.3,50543150219.0,16262094515.8,27239375669.3
2004,4,238990697.652,28581573374.9,53026250226.9,31237813309.4,29874820718.8
2004,5,119248166.104,27509887222.1,45530991833.9,38611819520.7,31187501584.9
2004,6,0,28561464340.4,45414428812.2,36145642233.0,32837912942.1
2004,7,0,32849856235.0,44615991809.3,33220512556.1,32273087727.3
2004,8,0,34021379579.9,46178282222.2,32263558131.9,30496228393.7
2004,9,0,35088054428.3,46808917480.1,30327201926.0,30735274493.2
2004,10,0,37566766207.7,42878758806.4,32280809405.7,30233113907.9
2004,11,0,45678955390.7,40089540227.9,29031393401.9,28159559307.1
2004,12,0,42032070233.6,48274515779.4,20338196372.8,32314665941.8
2005,1,32291282345.2,61080772359.4,19532521606.5,10356735972.6,19698136044.0
2005,2,4402537527.0,77068134180.7,18827787303.9,16269992308.5,26390997007.7
2005,3,1943577061.03,48330952613.6,49549154953.2,16341157114.5,26794606585.4
2005,4,858322564.986,35827406382.8,58472924241.1,21836082090.2,25964713048.6
2005,5,481230637.796,16764376000.1,56796481932.3,37905655297.5,31011704459.9
2005,6,0,16439387907.5,54319343655.5,39293266877.1,32907449887.7
2005,7,0,22069805603.0,51162323834.3,35668755028.1,34058563862.2
2005,8,0,25059271633.8,51248133463.8,32560475106.4,34091568123.6
2005,9,0,26983351036.8,49956283371.9,32164123667.7,33855690251.3
2005,10,0,31322668252.8,49498518544.7,29136881765.5,33001379764.7
2005,11,0,33478660684.3,47379275262.1,27691197428.4,34410314952.9
2005,12,0.0,56136972557.9,38354839034.3,22574101534.6,25893535200.8
2006,1,3281083118.43,78442197111.6,26828869003.2,19941292898.8,14466006195.6
2006,2,239244170.265,67705751598.6,32862375647.9,22592782480.4,19559294430.5
2006,3,0.0,82344489977.5,32559741944.8,14256576811.6,13798639593.8
2006,4,979328266.865,37459214853.6,68451333916.0,13182930269.9,22886641021.3
2006,5,0.0,20454094753.5,56048177117.0,37765983072.1,28691193385.1
2006,6,0.0,17670357896.6,50894080505.1,39610326173.3,34784683752.6
2006,7,0.0,25428304380.8,49441072885.0,34144304098.9,33945766963.0
2006,8,0.0,30568275437.0,47827043873.6,32660631467.8,31903497549.3
2006,9,0.0,31166654757.2,49036981931.5,30714596745.3,32041214893.7
2006,10,0.0,34819915230.2,45538473342.5,29593966253.6,33007093501.4
2006,11,0.0,39175430167.5,44795077436.3,31066641001.6,27922299722.3
2006,12,0,49074964591.4,44733351511.5,24640282526.6,24510849698.1
2007,1,0.0,60677755977.4,36001428576.8,22350623956.9,23929639816.6
2007,2,0.0,56389122114.7,41056528177.9,19711995705.3,25801802329.8
2007,3,0.0,45409128738.7,46371220324.2,21647447700.1,29531651564.6
2007,4,0.0,33912341795.7,47956353559.9,29995527512.2,31095225459.9
2007,5,0.0,29169636893.9,45686979737.5,34530514052.9,33572317643.4
2007,6,0.0,31897258925.3,44060946684.5,34381257464.9,32619985253.0
2007,7,0.0,36979584220.2,42813079158.9,32183985559.2,30982799389.4
2007,8,0,38064862550.8,43157919226.0,32079943811.6,29656722739.2
2007,9,0,35696643783.5,43966716993.5,31464131594.2,31831955956.4
2007,10,0,33836699497.6,45807924257.8,30186109675.0,33128714897.3
2007,11,0,34211687206.8,44846756412.1,28448639219.2,35452365489.5
2007,12,1034226187.75,69679385263.1,33882920469.8,19406436405.1,18956480001.9
2008,1,20471094552.2,67123659168.8,21475986142.0,20979767525.3,12908940939.4
2008,2,14706956219.0,77842397162.3,20774016800.4,19163792798.4,10472285347.7
2008,3,1035914013.4,75070890957.8,30690282821.7,15913979771.8,20248380763.0
2008,4,731882472.533,36682558058.0,57147892402.5,27287345390.6,21109770004.0
2008,5,0,22687684846.6,54538875992.0,38948503461.3,26784384027.8
2008,6,0,23117315443.8,51012912244.1,39341450446.8,29487770193.0
2008,7,0.0,27627763737.7,49446254285.3,37145696420.1,28739733884.5
2008,8,0,32761252840.0,47036524518.2,34327995631.7,28833675337.8
2008,9,0,33815191635.2,47491290907.5,31005660355.6,30647305429.4
2008,10,0.0,31840526881.5,46097687623.8,29651831579.0,35369402243.4
2008,11,0,37076638031.5,42981346117.8,28383890205.4,34517573973.0
2008,12,0.0,60785110893.9,32052868115.0,33004587393.0,17116881925.8
2009,1,0.0,68029231277.5,34332189602.2,18149026201.9,22449001246.1
2009,2,346631123.997,72578865218.1,31099786207.0,17041549185.2,21892616593.3
2009,3,732262430.832,69067264464.9,36330301365.4,14548824311.7,22280795754.8
2009,4,0,39751289483.2,51138923705.2,27389170691.3,24680064448.0
2009,5,0.0,30511423831.9,45432489373.1,36373513472.2,30642021650.4
2009,6,0,29250370550.9,44513601051.3,39322223085.1,29873253640.3
2009,7,0,33686198741.5,43777823395.7,34967871826.1,30527554364.5
2009,8,0,35947098139.4,43213510786.5,33765331139.8,30033508262.0
2009,9,0,39034936628.8,42001389439.3,31280972385.7,30642149873.9
2009,10,0,38922406294.3,36156585021.3,34190960395.7,33689496616.3
2009,11,0,39081053059.0,39920684296.6,32558837574.6,31398873397.5
2009,12,12948150275.1,69546408955.7,20767676865.7,21826816561.1,17870395670.0
2010,1,1097743718.97,81406956548.2,23666616440.5,16018897263.2,20769234356.9
2010,2,1548095628.85,79817185588.9,24303350101.7,14109833912.0,23180983096.3
2010,3,481233382.471,63544519013.2,41212115974.2,14414510270.2,23307069687.6
2010,4,735416273.83,42237814208.2,58971742359.1,17444728904.7,23569746581.9
2010,5,0,27809885509.4,56025081331.1,33878522793.5,25245958693.6
2010,6,0,20126333081.3,52287923048.3,40223084443.0,30322107755.2
2010,7,0,23953071471.4,49510629886.1,34691688298.4,34804058671.8
2010,8,0,28408468886.0,48361740551.9,31594635453.3,34594603436.5
2010,9,0,29214906340.0,48476146022.4,31915921599.8,33352474365.5
2010,10,0,27396680994.3,49722949276.7,30205864949.5,35633953107.1
2010,11,0,35071859498.1,47364095461.6,32751054297.9,27772439070.1
2010,12,0.0,61886650398.0,45430207210.7,15686462751.8,19956127967.2
2011,1,1586647733.04,68706674007.4,33837910884.4,16094997276.2,22733218426.6
2011,2,239244170.265,74960762330.3,34372215968.8,17160450041.3,16226775817.0
2011,3,736314297.285,65731592286.2,46171393863.5,11638355874.9,18681792005.8
2011,4,365212425.67,37277314558.6,66215950107.4,18081453905.5,21019517330.4
2011,5,0,25698835537.6,57155115425.8,34520027049.8,25585470314.4
2011,6,119248166.104,21628778306.3,49987879410.1,42201917651.2,29021624794.0
2011,7,0,21955508914.5,49704385697.3,36055152068.3,35244401647.6
2011,8,0.0,25929815056.8,48818942064.0,32417808732.7,35792882474.1
2011,9,0,27868366871.2,47733192546.0,29754570051.1,37603318859.4
2011,10,0.0,28345846199.9,44450018886.0,29246824720.5,40916758521.3
2011,11,0.0,37732740081.7,38294213578.5,31707456911.5,35225037755.9
2011,12,0,39202835881.2,39522788204.8,30060849730.9,34172974510.8
2012,1,0,41441595987.7,42428530429.4,32857627063.0,26231694847.5
2012,2,0,59203780707.7,37345558926.5,25519868124.9,20890240568.7
2012,3,0.0,58129167085.3,42766545852.3,21120423079.8,20943312310.2
2012,4,0,40614070696.6,46995543807.8,29127043879.5,26222789943.8
2012,5,0.0,31265434457.3,42925565248.9,37067114199.7,31701334421.8
2012,6,0,33947728805.0,41014496064.3,37619243555.2,30377979903.2
2012,7,0.0,35998848011.2,42126458787.2,32958731368.3,31875410161.1
2012,8,0.0,38294958899.9,42286415491.8,32717337031.0,29660736905.0
2012,9,0,38862347304.0,41636556324.2,30992863034.6,31467681665.0
2012,10,0,37335272893.5,42558218512.3,27880075756.6,35185881165.2
2012,11,0,41464888650.6,41080855627.2,26752997024.2,33660707025.7
2012,12,0,69134622555.8,30940252245.9,25310484352.8,17574089173.2
2013,1,7561581117.0,79755679767.3,20927674265.5,17235044006.8,17479469171.1
2013,2,328285168.048,70955521716.7,32071996756.1,18932474446.9,20671170239.9
2013,3,119414055.001,52466333322.5,44511050078.0,18797641076.3,27065009795.8
2013,4,0.0,34336577766.0,46644166316.8,32671391323.0,29307312921.9
2013,5,0.0,27651610138.7,44504427425.9,39882023441.1,30921387321.9
2013,6,0.0,31085653730.0,44012500701.4,38486094657.1,29375199239.3
2013,7,0.0,35111381673.7,42036450951.1,36304055360.0,29507560342.8
2013,8,0.0,38481354571.6,43576838460.0,34384821093.8,26516434202.2
2013,9,0.0,35629721462.9,44811924697.0,32531945176.0,29985856991.8
2013,10,0,36441656230.7,44142056884.3,31040702273.3,31335032939.4
2013,11,0.0,38225669853.3,43354908921.4,27501406378.5,33877463174.5
2013,12,0.0,60273985712.2,34004513451.2,24096519251.8,24584429912.5
